date,tod,target,seed,seed_date,pos_total,pos_changed,pos_n1,pos_n2,pos_n12,pos_d1,pos_d2,pos_d3,pos_d4,srt_total,srt_changed,srt_n1,srt_n12,best_from,best_seed
2026-02-01,evening,2021,6003,2026-02-01,8,3,0,2,2,4,0,2,2,6,3,2,2,prev1,6003
2026-02-02,midday,1099,2021,2026-02-01,6,3,1,1,2,1,0,3,2,6,2,0,0,prev1,2021
2026-02-02,evening,4245,1099,2026-02-02,14,4,0,1,1,3,2,5,4,14,4,0,1,prev2,2021
2026-02-03,midday,2856,4245,2026-02-02,8,4,2,1,3,2,4,1,1,6,3,1,2,prev1,4245
2026-02-03,evening,2165,2856,2026-02-03,5,3,2,0,2,0,3,1,1,7,4,2,3,prev1,2856
2026-02-04,midday,3817,2165,2026-02-03,11,4,1,1,2,1,3,5,2,5,3,1,3,prev2,2856
2026-02-04,evening,0319,3817,2026-02-04,10,3,0,1,1,3,5,0,2,8,4,2,3,prev1,3817
2026-02-05,midday,4125,0319,2026-02-04,11,4,1,1,2,4,2,1,4,7,4,3,3,prev2,3817
2026-02-05,evening,8292,4125,2026-02-05,11,4,1,0,1,4,1,3,3,9,3,1,1,prev2,0319
2026-02-06,midday,1860,8292,2026-02-05,12,4,0,1,1,3,4,3,2,6,4,2,4,prev1,8292
2026-02-06,evening,4647,1860,2026-02-06,10,4,0,2,2,3,2,2,3,8,3,1,1,prev1,1860
2026-02-07,midday,1219,4647,2026-02-06,12,4,0,1,1,3,4,3,2,12,4,0,1,prev2,1860
2026-02-07,evening,5133,1219,2026-02-07,11,4,1,1,2,4,1,2,4,7,3,1,2,prev1,1219
2026-02-08,midday,3729,5133,2026-02-07,11,4,1,1,2,2,4,1,4,9,3,1,1,prev2,1219
2026-02-08,evening,8663,3729,2026-02-08,14,4,1,0,1,5,1,4,4,6,4,3,3,prev2,5133
2026-02-09,midday,3291,8663,2026-02-08,14,4,0,1,1,5,4,3,2,10,4,1,2,prev2,3729
2026-02-09,evening,6282,3291,2026-02-09,5,3,2,0,2,3,0,1,1,5,3,2,2,prev1,3291
2026-02-10,midday,5428,6282,2026-02-09,11,4,1,1,2,1,2,4,4,3,2,1,2,prev2,3291
2026-02-10,evening,7537,5428,2026-02-10,5,4,3,1,4,2,1,1,1,5,4,3,4,prev1,5428
2026-02-11,midday,8821,7537,2026-02-10,9,4,2,0,2,1,3,1,4,7,4,2,3,prev2,5428
2026-02-11,evening,8312,8821,2026-02-11,7,3,2,0,2,0,5,1,1,5,1,0,0,prev1,8821
2026-02-12,midday,1792,8312,2026-02-11,9,3,0,1,1,3,4,2,0,5,2,1,1,prev1,8312
2026-02-12,evening,2897,1792,2026-02-12,7,3,2,0,2,1,1,0,5,7,3,2,2,prev1,1792
2026-02-13,midday,4358,2897,2026-02-12,12,4,1,1,2,2,5,4,1,8,4,2,2,prev1,2897
2026-02-13,evening,2766,4358,2026-02-13,9,4,1,2,3,2,4,1,2,5,4,3,4,prev2,2897
2026-02-14,midday,9527,2766,2026-02-13,10,4,1,1,2,3,2,4,1,4,3,2,3,prev1,2766
2026-02-14,evening,0023,9527,2026-02-14,10,3,1,0,1,1,5,0,4,16,4,0,1,prev1,9527
2026-02-15,midday,0169,0023,2026-02-14,9,3,1,0,1,0,1,4,4,9,3,1,1,prev1,0023
2026-02-15,evening,7294,0169,2026-02-15,12,4,1,0,1,3,1,3,5,6,3,1,2,prev2,0023
2026-02-16,midday,5978,7294,2026-02-15,11,4,0,2,2,2,3,2,4,7,3,1,1,prev2,0169
2026-02-16,evening,5618,5978,2026-02-16,7,2,0,0,0,0,3,4,0,9,4,1,3,prev1,5978
2026-02-17,midday,8927,5618,2026-02-16,8,4,2,0,2,3,3,1,1,6,4,2,4,prev2,5978
2026-02-17,evening,7058,8927,2026-02-17,6,4,3,0,3,1,1,3,1,6,4,2,4,prev2,5618
