date,midday,evening,pos_total,pos_n1,srt_total,srt_n1
2026-02-01,6003,2021,8,0,6,2
2026-02-02,1099,4245,14,0,14,0
2026-02-03,2856,2165,5,2,7,2
2026-02-04,3817,0319,10,0,8,2
2026-02-05,4125,8292,11,1,9,1
2026-02-06,1860,4647,10,0,8,1
2026-02-07,1219,5133,11,1,7,1
2026-02-08,3729,8663,14,1,6,3
2026-02-09,3291,6282,5,2,5,2
2026-02-10,5428,7537,5,3,5,3
2026-02-11,8821,8312,7,2,5,0
2026-02-12,1792,2897,7,2,7,2
2026-02-13,4358,2766,9,1,5,3
2026-02-14,9527,0023,10,1,16,0
2026-02-15,0169,7294,12,1,6,1
2026-02-16,5978,5618,7,0,9,1
2026-02-17,8927,7058,6,3,6,2
