date,tod,value,normalized,seeds_used,seed_values,hot_months,candidates,hit,rank
2019-10-01,evening,9409,0499,3,0085|5993|2943,10,371,False,
2019-10-01,midday,2943,2349,2,0085|5993,3,160,False,
2019-10-02,evening,5067,0567,3,2943|9409|9641,12,362,False,
2019-10-02,midday,9641,1469,2,2943|9409,2,109,False,
2019-10-03,evening,5775,5577,3,9641|5067|9279,17,447,False,
2019-10-03,midday,9279,2799,2,9641|5067,10,327,True,276
2019-10-04,evening,5920,0259,3,9279|5775|9818,4,161,True,103
2019-10-04,midday,9818,1889,2,9279|5775,3,157,False,
2019-10-05,evening,7168,1678,3,9818|5920|7510,12,387,True,178
2019-10-05,midday,7510,0157,2,9818|5920,3,136,True,120
2019-10-06,evening,0376,0367,3,7510|7168|6281,17,442,True,108
2019-10-06,midday,6281,1268,2,7510|7168,5,226,True,204
2019-10-07,evening,0366,0366,3,6281|0376|0458,13,372,False,
2019-10-07,midday,0458,0458,2,6281|0376,6,212,False,
2019-10-08,evening,9373,3379,3,0458|0366|4426,10,318,False,
2019-10-08,midday,4426,2446,2,0458|0366,4,149,False,
2019-10-09,evening,4794,4479,3,4426|9373|0985,8,257,False,
2019-10-09,midday,0985,0589,2,4426|9373,3,129,True,3
2019-10-10,evening,9353,3359,3,0985|4794|5841,10,335,True,112
2019-10-10,midday,5841,1458,2,0985|4794,2,86,False,
2019-10-11,evening,8271,1278,3,5841|9353|3668,7,230,True,186
2019-10-11,midday,3668,3668,2,5841|9353,2,53,False,
2019-10-12,evening,5439,3459,3,3668|8271|8763,9,297,True,117
2019-10-12,midday,8763,3678,2,3668|8271,2,83,False,
2019-10-13,evening,0410,0014,3,8763|5439|3674,13,397,True,341
2019-10-13,midday,3674,3467,2,8763|5439,2,81,False,
2019-10-14,evening,5406,0456,3,3674|0410|7407,8,275,False,
2019-10-14,midday,7407,0477,2,3674|0410,4,175,False,
2019-10-15,evening,2855,2558,3,7407|5406|1922,6,229,False,
2019-10-15,midday,1922,1229,2,7407|5406,2,108,False,
2019-10-16,evening,3342,2334,3,1922|2855|6136,4,156,False,
2019-10-16,midday,6136,1366,2,1922|2855,3,134,False,
2019-10-17,evening,0768,0678,3,6136|3342|6074,12,366,False,
2019-10-17,midday,6074,0467,2,6136|3342,3,108,False,
2019-10-18,evening,0069,0069,3,6074|0768|5844,12,388,False,
2019-10-18,midday,5844,4458,2,6074|0768,7,295,True,92
2019-10-19,evening,4095,0459,3,5844|0069|0840,3,137,False,
2019-10-19,midday,0840,0048,2,5844|0069,1,55,False,
2019-10-20,evening,5309,0359,3,0840|4095|5091,10,336,True,38
2019-10-20,midday,5091,0159,2,0840|4095,2,82,True,64
2019-10-21,evening,2631,1236,3,5091|5309|1713,15,446,True,33
2019-10-21,midday,1713,1137,2,5091|5309,12,397,False,
2019-10-22,evening,3593,3359,3,1713|2631|9711,7,267,True,257
2019-10-22,midday,9711,1179,2,1713|2631,3,159,True,133
2019-10-23,evening,0674,0467,3,9711|3593|0296,7,264,True,17
2019-10-23,midday,0296,0269,2,9711|3593,1,55,False,
2019-10-24,evening,4694,4469,3,0296|0674|5289,16,432,True,202
2019-10-24,midday,5289,2589,2,0296|0674,10,340,False,
2019-10-25,evening,7866,6678,3,5289|4694|0003,2,99,False,
2019-10-25,midday,0003,0003,2,5289|4694,1,59,False,
2019-10-26,evening,3007,0037,3,0003|7866|5991,4,146,False,
2019-10-26,midday,5991,1599,2,0003|7866,1,61,False,
2019-10-27,evening,4142,1244,3,5991|3007|0448,5,189,False,
2019-10-27,midday,0448,0448,2,5991|3007,3,108,False,
2019-10-28,evening,2820,0228,3,0448|4142|5821,9,321,True,283
2019-10-28,midday,5821,1258,2,0448|4142,2,99,False,
2019-10-29,evening,0185,0158,3,5821|2820|8640,10,357,True,37
2019-10-29,midday,8640,0468,2,5821|2820,4,157,False,
2019-10-30,evening,1032,0123,3,8640|0185|1588,10,370,False,
2019-10-30,midday,1588,1588,2,8640|0185,6,257,False,
2019-10-31,evening,8751,1578,3,1588|1032|8100,8,305,True,192
2019-10-31,midday,8100,0018,2,1588|1032,2,113,False,
